Account,Size USD,risk_level,Side,Closed PnL,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,16072.906656184485,2.1098008385744236,0.0,410.67723678694966,2
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1653.433201428964,2.2697169552074747,0.0,6.566870620225336,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,507.67745735968145,2.1245022165451948,0.0,9.953002474040124,1
0x2c229d22b100a7beb69122eed721cee9b24011dd,3140.8123200494288,2.356502934816188,0.0,52.10312661538461,1
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1730.5380934809348,2.199261992619926,0.0,-38.38277563468635,1
0x39cef799f8b69da1995852eea189df24eb5cae3c,4496.654591580708,2.2327850571508225,0.0,3.9944915098968496,1
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,3273.2153939393943,2.381818181818182,0.0,137.8093459,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,5103.801338582677,2.2808398950131235,0.0,523.6367263307086,0
0x430f09841d65beb3f27765503d0f850b8bce7713,2398.214,2.310931174089069,0.0,337.2808682923077,0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,517.5213126687801,2.119643066807561,0.0,12.130236087589527,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4412.052463768116,2.5217391304347827,0.0,27.36650231884058,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,17101.251190978634,1.9066209443418622,0.0,40.7512357842258,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,34402.09041278405,2.057299329736799,0.0,68.69564780251757,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,742.0948201438849,2.173689619732785,0.0,111.74842422610483,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2135.092780112045,2.2254901960784315,0.0,283.3227110357143,0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2601.2819876655544,2.2208067940552016,0.0,38.32604178566373,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3723.841933204881,2.2177263969171483,0.0,9.53107128901734,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2204.9247814742334,2.243531202435312,0.0,-36.44408246858013,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,6280.993672079623,2.3488737558931376,0.0,34.25912081770561,1
0x8477e447846c758f5a675856001ea72298fd9cb5,820.5009129101094,2.21412376633769,0.0,2.928581553480928,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1273.2534365186182,2.2843043004550405,0.0,6.811071260398641,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2076.338168674699,2.1686746987951806,0.0,175.66292921927712,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2980.9616577540105,2.4367201426024954,0.0,120.03579844028519,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,8263.815883458647,2.2669172932330826,0.0,40.90005968609022,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3835.020494195913,2.260878419659222,0.0,145.50150008071412,1
0xb899e522b5715391ae1d4f137653e7906c5e2115,22476.975816790735,2.0599669148056243,0.0,4.611605568858561,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,3210.20438839075,2.2291647003303443,0.0,44.36805441255309,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,1843.9989495296404,2.3056343636454133,0.0,20.794661118834302,1
